index,Group,score1,score1/100
1,AudioVisual,0,0
2,AudioVisual,44.444445,0.44444445
3,AudioVisual,44.444445,0.44444445
4,AudioVisual,11.111111,0.11111111
5,AudioVisual,55.555558,0.55555558
6,AudioVisual,44.444445,0.44444445
7,AudioVisual,33.333334,0.33333334
8,AudioVisual,44.444445,0.44444445
9,AudioVisual,44.444445,0.44444445
10,AudioVisual,22.222222,0.22222222
11,AudioVisual,22.222222,0.22222222
12,AudioVisual,33.333334,0.33333334
13,AudioVisual,11.111111,0.11111111
14,AudioVisual,22.222222,0.22222222
15,AudioVisual,66.666669,0.66666669
16,AudioVisual,22.222222,0.22222222
17,AudioVisual,44.444445,0.44444445
18,AudioVisual,11.111111,0.11111111
19,AudioVisual,33.333334,0.33333334
20,AudioVisual,33.333334,0.33333334
21,AudioVisual,44.444445,0.44444445
22,AudioVisual,55.555558,0.55555558
23,AudioVisual,11.111111,0.11111111
24,AudioVisual,44.444445,0.44444445
25,AudioVisual,22.222222,0.22222222
26,AudioVisual,66.666669,0.66666669
27,AudioVisual,55.555558,0.55555558
28,AudioVisual,33.333334,0.33333334
29,AudioVisual,11.111111,0.11111111
30,AudioVisual,22.222222,0.22222222
31,AudioVisual,11.111111,0.11111111
32,AudioVisual,11.111111,0.11111111
33,AudioVisual,55.555558,0.55555558
34,AudioVisual,44.444445,0.44444445
35,AudioVisual,33.333334,0.33333334
36,AudioVisual,44.444445,0.44444445
37,AudioVisual,22.222222,0.22222222
38,AudioVisual,77.777779,0.77777779
39,AudioVisual,22.222222,0.22222222
40,AudioVisual,44.444445,0.44444445
41,AudioVisual,66.666669,0.66666669
42,AudioVisual,55.555558,0.55555558
43,AudioVisual,55.555558,0.55555558
44,AudioVisual,33.333334,0.33333334
45,AudioVisual,44.444445,0.44444445
46,AudioVisual,11.111111,0.11111111
47,AudioVisual,0,0
48,AudioVisual,55.555558,0.55555558
49,AudioVisual,44.444445,0.44444445
50,AudioVisual,44.444445,0.44444445
51,AudioVisual,66.666669,0.66666669
52,AudioVisual,55.555558,0.55555558
53,AudioVisual,33.333334,0.33333334
54,AudioVisual,66.666669,0.66666669
55,AudioVisual,22.222222,0.22222222
56,AudioVisual,33.333334,0.33333334
57,AudioVisual,11.111111,0.11111111
58,AudioVisual,55.555558,0.55555558
59,AudioVisual,33.333334,0.33333334
60,AudioVisual,66.666669,0.66666669
61,AudioVisual,55.555558,0.55555558
62,AudioVisual,33.333334,0.33333334
63,AudioVisual,55.555558,0.55555558
64,AudioVisual,66.666669,0.66666669
65,AudioVisual,33.333334,0.33333334
66,AudioVisual,44.444445,0.44444445
67,AudioVisual,33.333334,0.33333334
68,AudioVisual,55.555558,0.55555558
69,AudioVisual,66.666669,0.66666669
70,AudioVisual,33.333334,0.33333334
71,AudioVisual,77.777779,0.77777779
72,AudioVisual,33.333334,0.33333334
73,AudioVisual,44.444445,0.44444445
74,AudioVisual,22.222222,0.22222222
75,AudioVisual,33.333334,0.33333334
76,AudioVisual,11.111111,0.11111111
77,AudioVisual,55.555558,0.55555558
78,AudioVisual,44.444445,0.44444445
79,AudioVisual,22.222222,0.22222222
